F1,TP,Total pred,Total spindle
0.1831623082864394,830.0,4896.0,4167.0
0.21600176327970022,980.0,4896.0,4178.0
0.14675052410901465,665.0,4896.0,4167.0
0.1727523441809156,783.0,4896.0,4169.0
0.16837691713560632,763.0,4896.0,4167.0
0.17437368943825188,790.0,4896.0,4165.0
0.17616580310880828,799.0,4896.0,4175.0
0.18929950358521788,858.0,4896.0,4169.0
0.26347701466211,1195.0,4896.0,4175.0
0.4507726269315674,2042.0,4896.0,4164.0
0.45196867762214626,2049.0,4896.0,4171.0
0.5146263384479524,2331.0,4896.0,4163.0
0.5629547960308711,2553.0,4896.0,4174.0
0.5782973092192325,2622.0,4896.0,4172.0
0.5876902713434811,2664.0,4896.0,4170.0
0.590728476821192,2676.0,4896.0,4164.0
0.6100947762838881,2768.0,4896.0,4178.0
0.618117621096767,2801.0,4896.0,4167.0
0.6098664606555567,2763.0,4896.0,4165.0
0.619205298013245,2805.0,4896.0,4164.0
0.6050716648291069,2744.0,4896.0,4174.0
0.6284074605451938,2847.0,4896.0,4165.0
0.6117724867724869,2775.0,4896.0,4176.0
0.628792057363486,2850.0,4896.0,4169.0
0.6123124448367168,2775.0,4896.0,4168.0
0.6242544731610338,2826.0,4896.0,4158.0
0.6328918322295806,2867.0,4896.0,4164.0
0.6387111013021409,2894.0,4896.0,4166.0
0.628212198080953,2848.0,4896.0,4171.0
0.6342485389789392,2876.0,4896.0,4173.0
0.6335869445363326,2873.0,4896.0,4173.0
0.6321369409166205,2862.0,4896.0,4159.0
0.6280736575146102,2848.0,4896.0,4173.0
0.6196156394963551,2805.0,4896.0,4158.0
0.6381992717643165,2892.0,4896.0,4167.0
0.6344584160600044,2876.0,4896.0,4170.0
0.6363536033550381,2883.0,4896.0,4165.0
0.62263942573164,2819.0,4896.0,4159.0
0.635109787046232,2878.0,4896.0,4167.0
0.6322993707914781,2864.0,4896.0,4163.0
0.6359325024815264,2883.0,4896.0,4171.0
0.6455026455026455,2928.0,4896.0,4176.0
0.6357718194858214,2881.0,4896.0,4167.0
0.6357718194858214,2881.0,4896.0,4167.0
0.6412887564824009,2906.0,4896.0,4167.0
0.640652557319224,2906.0,4896.0,4176.0
0.6473248758963045,2934.0,4896.0,4169.0
0.6470198675496688,2931.0,4896.0,4164.0
0.6352187361908971,2875.0,4896.0,4156.0
0.6477786352111123,2938.0,4896.0,4175.0
0.6612280895160401,2999.0,4896.0,4175.0
0.6660781284484661,3018.0,4896.0,4166.0
0.6671080216263929,3023.0,4896.0,4167.0
0.6729920564872022,3050.0,4896.0,4168.0
0.6719646799116998,3044.0,4896.0,4164.0
0.6719699480720362,3041.0,4896.0,4155.0
0.6704194260485651,3037.0,4896.0,4164.0
0.6727693834785485,3050.0,4896.0,4171.0
0.672556598564329,3045.0,4896.0,4159.0
0.6730663135826989,3050.0,4896.0,4167.0
0.6718836107131049,3048.0,4896.0,4177.0
0.6696122832210317,3031.0,4896.0,4157.0
0.6719559228650137,3049.0,4896.0,4179.0
0.6700518821061928,3035.0,4896.0,4163.0
0.6761557983007834,3064.0,4896.0,4167.0
0.673064195896757,3051.0,4896.0,4170.0
0.6729261018446924,3046.0,4896.0,4157.0
0.6760097108806002,3063.0,4896.0,4166.0
0.6735099337748345,3051.0,4896.0,4164.0
0.672179953688389,3048.0,4896.0,4173.0
0.6731341638187631,3053.0,4896.0,4175.0
0.6752617079889808,3064.0,4896.0,4179.0
0.6747572815533981,3058.0,4896.0,4168.0
0.674459638288487,3058.0,4896.0,4172.0
0.673941798941799,3057.0,4896.0,4176.0
0.6725507502206531,3048.0,4896.0,4168.0
0.6758514273118041,3066.0,4896.0,4177.0
0.6735076685424253,3052.0,4896.0,4167.0
0.6771132200397264,3068.0,4896.0,4166.0
0.6737956123911365,3056.0,4896.0,4175.0
